Movie Name,Year,Genre,Language
P Se Pyaar F Se Faraar,2019,"Crime,Drama,Romance",hi
Housefull 4,2019,"Comedy,Drama",hi
Kanpuriye,2019,Drama,hi
Saand Ki Aankh,2019,Drama,hi
Drive,2019,"Action,Thriller",hi
Ujda Chaman,2019,"Comedy,Drama",hi
Bala,2019,"Comedy,Romance",hi
Bypass Road,2019,"Drama,Thriller",hi
Satellite Shankar,2019,"Action,Drama",hi
Jhalki,2019,Drama,hi
House Arrest,2019,Comedy,hi
Marjaavaan,2019,"Romance,Action",hi
Motichoor Chaknachoor,2019,"Romance,Drama",hi
Pagalpanti,2019,"Comedy,Action",hi
Commando 3,2019,"Action,Thriller",hi
Yeh Saali Aashiqui,2019,"Thriller,Romance",hi
Panipat,2019,"Action,History,War,Romance",hi
Pati Patni Aur Woh,2019,"Comedy,Romance",hi
Mardaani 2,2019,"Action,Crime,Thriller",hi
The Body,2019,"Thriller,Mystery",hi
Dabangg 3,2019,"Action,Comedy,Crime",hi
Happi,2019,"Comedy,Drama",hi
Good Newwz,2019,"Romance,Comedy,Family,Drama",hi
1921,2018,"Thriller,Horror",hi
Kaalakaandi,2018,"Comedy,Thriller,Drama",hi
Mukkabaaz,2018,Drama,hi
My Birthday Song,2018,Thriller,hi
Vodka Diaries,2018,"Mystery,Thriller",hi
Nirdosh,2018,"Mystery,Thriller",hi
Union Leader,2017,Drama,hi
Padmaavat,2018,"Drama,History,Romance",hi
Pad Man,2018,"Comedy,Drama",hi
Love per Square Foot,2018,"Comedy,Romance",hi
Aiyaary,2018,"Action,Thriller",hi
Kuchh Bheege Alfaaz,2018,"Romance,Drama",hi
Sonu Ke Titu Ki Sweety,2018,"Romance,Comedy",hi
Veerey Ki Wedding,2018,Comedy,hi
Hate Story IV,2018,"Thriller,Crime,Drama",hi
Dil Juunglee,2018,"Comedy,Romance",hi
3 Storeys,2018,Drama,hi
Raid,2018,"Crime,Drama,Thriller,Action",hi
Hichki,2018,"Drama,Comedy",hi
Shaadi Teri Bajayenge Hum Band,2018,Comedy,hi
Baaghi 2,2018,"Action,Crime,Drama",hi
Blackmail,2018,"Comedy,Thriller",hi
Missing,2018,"Thriller,Mystery",hi
October,2018,"Drama,Romance",hi
Beyond the Clouds,2018,"Family,Drama",hi
Nanu Ki Jaanu,2018,"Comedy,Horror",hi
Daas Dev,2018,"Thriller,Drama",hi
Meri Nimmo,2018,Drama,hi
102 Not Out,2018,"Comedy,Family,Drama",hi
Raazi,2018,"Thriller,Action,Drama",hi
Hope Aur Hum,2018,"Comedy,Drama",hi
High Jack,2018,Comedy,hi
Khajoor Pe Atke,2018,Comedy,hi
Bioscopewala,2018,Drama,hi
Veere Di Wedding,2018,"Drama,Comedy",hi
Bhavesh Joshi Superhero,2018,"Action,Drama",hi
Phamous,2018,"Crime,Drama,Romance",hi
Race 3,2018,"Thriller,Action",hi
Lust Stories,2018,"Drama,Romance",hi
Sanju,2018,"Drama,Comedy",hi
Soorma,2018,Drama,hi
"Saheb, Biwi Aur Gangster 3",2018,"Action,Drama,Thriller",hi
Nawabzaade,2018,"Comedy,Romance",hi
Fanney Khan,2018,"Comedy,Drama,Music",hi
Mulk,2018,Drama,hi
Brij Mohan Amar Rahe!,2018,"Comedy,Drama",hi
Karwaan,2018,"Adventure,Comedy",hi
Gold,2018,"Drama,History",hi
Satyameva Jayate,2018,"Action,Thriller",hi
Genius,2018,"Thriller,Action",hi
Happy Phirr Bhag Jayegi,2018,"Drama,Romance,Comedy",hi
Toba Tek Singh,2018,Drama,hi
Once Again,2019,"Drama,Romance",hi
Paltan,2018,"War,Drama,Action",hi
Laila Majnu,2018,"Drama,Romance",hi
Gali Guleiyan,2018,"Thriller,Drama",hi
Halkaa,2018,Drama,hi
Manmarziyaan,2018,"Romance,Drama",hi
Love Sonia,2018,Drama,hi
Mitron,2018,"Romance,Comedy,Family",hi
Batti Gul Meter Chalu,2018,"Comedy,Drama",hi
Manto,2018,"Drama,History",hi
Ishqeria,2018,"Comedy,Romance",hi
Pataakha,2018,"Action,Comedy,Drama",hi
Loveyatri,2018,"Drama,Romance,Comedy,Music",hi
Andhadhun,2018,"Crime,Thriller,Comedy",hi
Jalebi,2018,"Drama,Romance",hi
Helicopter Eela,2018,Drama,hi
FryDay,,Comedy,hi
/wQ3Vt9lthFqPsCAlt1MmwfoXHYl.jpg,,6.5,
Tumbbad,2018,"Horror,Fantasy",hi
Namaste England,2018,"Comedy,Romance",hi
Badhaai Ho,2018,"Comedy,Romance,Drama",hi
Baazaar,2018,"Crime,Drama,Thriller",hi
5 Weddings,2018,"Drama,Comedy,Romance",hi
Kaashi in Search of Ganga,2018,"Thriller,Drama",hi
Dassehra,2018,Thriller,hi
Thugs of Hindostan,2018,"Adventure,Action",hi
Mohalla Assi,2018,Drama,hi
Pihu,2018,"Thriller,Drama",hi
Hotel Milan,2018,Drama,hi
Tigers,2014,"Drama,Thriller",hi
Rajma Chawal,2018,"Comedy,Drama,Family",hi
Kedarnath,2018,Romance,hi
Simmba,2018,"Action,Comedy,Crime,Drama",hi
Haraamkhor,2015,Drama,hi
Ok Jaanu,2017,"Drama,Romance",hi
Coffee with D,2017,Comedy,hi
Kaabil,2017,"Action,Thriller,Drama",hi
Raees,2017,"Thriller,Action,Crime",hi
Hind Ka Napak Ko Jawab: MSG Lion Heart 2,2017,"Action,Comedy",hi
"U, Me Aur Ghar",2017,Romance,hi
Running Shaadi,2017,"Comedy,Romance",hi
The Ghazi Attack,2017,"Action,War,Thriller",hi
Irada,2017,Thriller,hi
Rangoon,2017,"War,History,Drama,Romance",hi
Wedding Anniversary,2017,Drama,hi
Mona Darling,2017,"Thriller,Horror",hi
Jeena Isi Ka Naam Hai,2017,Drama,hi
Badrinath Ki Dulhania,2017,"Drama,Comedy,Romance",hi
Aa Gaya Hero,2017,Action,hi
Trapped,2017,"Thriller,Drama",hi
Machine,2017,"Action,Romance,Comedy",hi
Phillauri,2017,"Fantasy,Comedy,Romance,Drama",hi
Bhanwarey,2017,Comedy,hi
Anaarkali of Aarah,2017,Drama,hi
Naam Shabana,2017,Thriller,hi
Laali Ki Shaadi Mein Laaddoo Deewana,2017,"Music,Comedy,Drama",hi
Mirza Juuliet,2017,Drama,hi
Saanjh,2017,"Drama,Family,Music",hi
Begum Jaan,2017,"Action,Drama,History",hi
Noor,2017,"Comedy,Romance,Drama,Adventure",hi
Maatr,2017,"Thriller,Drama",hi
Meri Pyaari Bindu,2017,"Drama,Romance",hi
Sarkar 3,2017,Crime,hi
Half Girlfriend,2017,"Romance,Drama",hi
Jattu Engineer,2017,"Comedy,Drama",hi
Hindi Medium,2017,"Comedy,Drama",hi
